name,Predicted value,Difference from optimal G
Sc-Sc,-3.5125303,3.5937304
Ti-Sc,-3.613625,3.6948252
V-Sc,-3.2754686,3.3566685
Cr-Sc,-2.386605,2.467805
Mn-Sc,-1.6568681,1.7380681
Fe-Sc,-1.8669659,1.9481659
Co-Sc,-1.6056329,1.6868329
Ni-Sc,-1.1011919,1.1823919
Cu-Sc,-0.7459597,0.8271597
Zn-Sc,-0.7381605,0.8193605
Y-Sc,-3.139456,3.220656
Zr-Sc,-3.7713215,3.8525214
Nb-Sc,-3.673131,3.754331
Mo-Sc,-3.257274,3.3384738
Tc-Sc,-2.6545625,2.7357626
Ru-Sc,-2.136562,2.217762
Rh-Sc,-1.7027298,1.7839298
Pd-Sc,-0.812592,0.89379203
Ag-Sc,-0.90899897,0.99019897
Cd-Sc,-0.79373705,0.87493706
Hf-Sc,-3.815798,3.896998
Ta-Sc,-3.791147,3.8723469
W-Sc,-4.199142,4.280342
Re-Sc,-2.7755485,2.8567486
Os-Sc,-2.5551503,2.6363502
Ir-Sc,-2.4436398,2.5248399
Pt-Sc,-1.6017345,1.6829345
Au-Sc,-1.2448591,1.3260591
Ti-Ti,-4.22349,4.3046904
V-Ti,-3.3536272,3.4348273
Cr-Ti,-2.461398,2.5425978
Mn-Ti,-1.8451527,1.9263527
Fe-Ti,-1.9715263,2.0527263
Co-Ti,-1.7418524,1.8230524
Ni-Ti,-1.2309948,1.3121948
Cu-Ti,-1.0376706,1.1188706
Zn-Ti,-1.2751848,1.3563848
Y-Ti,-3.3873737,3.4685736
Zr-Ti,-4.067332,4.148532
Nb-Ti,-3.7519152,3.833115
Mo-Ti,-3.3892772,3.470477
Tc-Ti,-2.7834165,2.8646164
Ru-Ti,-2.2403944,2.3215942
Rh-Ti,-1.7770108,1.8582108
Pd-Ti,-1.0317105,1.1129105
Ag-Ti,-1.1168871,1.1980871
Cd-Ti,-1.1395323,1.2207323
Hf-Ti,-4.7076106,4.7888107
Ta-Ti,-3.9974258,4.0786257
W-Ti,-4.2560344,4.3372345
Re-Ti,-2.909354,2.9905539
Os-Ti,-2.5434287,2.6246285
Ir-Ti,-2.1849902,2.26619
Pt-Ti,-1.5654187,1.6466187
Au-Ti,-1.3801614,1.4613614
V-V,-3.0359442,3.117144
Cr-V,-2.0920002,2.1732001
Mn-V,-1.5471627,1.6283627
Fe-V,-1.2205373,1.3017373
Co-V,-1.106743,1.187943
Ni-V,-0.96503884,1.0462389
Cu-V,-0.88428557,0.9654856
Zn-V,-1.1073277,1.1885277
Y-V,-3.293263,3.374463
Zr-V,-3.9452713,4.026471
Nb-V,-3.4226,3.5038
Mo-V,-2.932217,3.0134168
Tc-V,-2.27469,2.3558898
Ru-V,-1.6709503,1.7521503
Rh-V,-1.2912886,1.3724886
Pd-V,-0.682267,0.763467
Ag-V,-0.6759491,0.7571491
Cd-V,-0.77747256,0.85867256
Hf-V,-4.05755,4.13875
Ta-V,-3.640724,3.7219238
W-V,-3.3396165,3.4208164
Re-V,-2.2471402,2.32834
Os-V,-1.5058801,1.5870801
Ir-V,-1.2424066,1.3236066
Pt-V,-0.8230469,0.9042469
Au-V,-0.7671484,0.8483484
Cr-Cr,-1.7274442,1.8086442
Mn-Cr,-1.4590284,1.5402284
Fe-Cr,-1.1894691,1.2706691
Co-Cr,-0.78197306,0.86317307
Ni-Cr,-0.73906505,0.82026505
Cu-Cr,-0.80886465,0.89006466
Zn-Cr,-1.2439454,1.3251454
Y-Cr,-2.6824687,2.7636685
Zr-Cr,-3.2584639,3.339664
