name,Predicted value,Difference from optimal G
Sc-Sc,-3.5416313334957183,3.6228313334957183
Ti-Sc,-3.6169080515973238,3.6981080515973237
V-Sc,-3.323832532390795,3.405032532390795
Cr-Sc,-2.4568742319244916,2.5380742319244916
Mn-Sc,-2.2827908394126757,2.3639908394126756
Fe-Sc,-1.8225438150529665,1.9037438150529664
Co-Sc,-1.8068794135487656,1.8880794135487655
Ni-Sc,-1.8068049231367707,1.8880049231367706
Cu-Sc,-1.899533169192749,1.980733169192749
Zn-Sc,-1.561237529499532,1.642437529499532
Y-Sc,-3.1258840252693987,3.2070840252693986
Zr-Sc,-3.9000373242601305,3.9812373242601304
Nb-Sc,-3.8306909207646305,3.9118909207646304
Mo-Sc,-3.254905933923689,3.336105933923689
Tc-Sc,-1.911183288924248,1.9923832889242479
Ru-Sc,-1.9225619186053582,2.0037619186053583
Rh-Sc,-1.9377216700182105,2.0189216700182104
Pd-Sc,-1.7816045064530535,1.8628045064530534
Ag-Sc,-2.0382525241953418,2.1194525241953417
Cd-Sc,-1.526229096890261,1.607429096890261
Hf-Sc,-3.95517296982039,4.03637296982039
Ta-Sc,-3.8462712813864655,3.9274712813864654
W-Sc,-3.6583777239377757,3.7395777239377757
Re-Sc,-1.9926322121865834,2.0738322121865833
Os-Sc,-1.8731014645464412,1.9543014645464412
Ir-Sc,-1.823014940674895,1.904214940674895
Pt-Sc,-1.7795342095738573,1.8607342095738573
Au-Sc,-1.8269508290480636,1.9081508290480635
Ti-Ti,-3.6560465832082314,3.7372465832082313
V-Ti,-3.3039642947947923,3.385164294794792
Cr-Ti,-2.2820156772314193,2.3632156772314192
Mn-Ti,-2.016802000960153,2.098002000960153
Fe-Ti,-2.0000671791774325,2.0812671791774324
Co-Ti,-1.7198674414673676,1.8010674414673675
Ni-Ti,-1.8147822893090206,1.8959822893090206
Cu-Ti,-1.8536070173940753,1.9348070173940752
Zn-Ti,-1.7244222507631908,1.8056222507631907
Y-Ti,-3.4431560041155165,3.5243560041155164
Zr-Ti,-3.9466729286889817,4.027872928688982
Nb-Ti,-3.800591557598139,3.881791557598139
Mo-Ti,-3.210944356356764,3.292144356356764
Tc-Ti,-1.92836699616316,2.00956699616316
Ru-Ti,-1.8782697732441536,1.9594697732441535
Rh-Ti,-1.7866602029459313,1.8678602029459312
Pd-Ti,-1.8042993133094014,1.8854993133094013
Ag-Ti,-1.996098214114929,2.077298214114929
Cd-Ti,-1.5792335183091217,1.6604335183091217
Hf-Ti,-4.0747615291983745,4.1559615291983745
Ta-Ti,-4.134619529037989,4.215819529037989
W-Ti,-3.796849273375399,3.878049273375399
Re-Ti,-2.183123737131718,2.264323737131718
Os-Ti,-1.8438438312566359,1.9250438312566358
Ir-Ti,-1.6953857343584873,1.7765857343584872
Pt-Ti,-1.8314603196153798,1.9126603196153797
Au-Ti,-1.8092814357879705,1.8904814357879705
V-V,-3.1587594623524655,3.2399594623524655
Cr-V,-2.112498900438085,2.193698900438085
Mn-V,-1.680618342987744,1.7618183429877439
Fe-V,-1.427545197736293,1.508745197736293
Co-V,-1.3938125504985523,1.4750125504985523
Ni-V,-1.4277355099710645,1.5089355099710644
Cu-V,-1.4688819035213598,1.5500819035213598
Zn-V,-1.2983848194948309,1.3795848194948308
Y-V,-3.37766585756036,3.45886585756036
Zr-V,-3.488556221444481,3.569756221444481
Nb-V,-3.406087381116545,3.487287381116545
Mo-V,-3.1280246167982697,3.2092246167982696
Tc-V,-1.9065658334302173,1.9877658334302173
Ru-V,-1.5228468643791255,1.6040468643791255
Rh-V,-1.4759252401691718,1.5571252401691718
Pd-V,-1.3702941714914036,1.4514941714914036
Ag-V,-1.4150206770270093,1.4962206770270092
Cd-V,-0.990270716147191,1.071470716147191
Hf-V,-3.6307675227686382,3.711967522768638
Ta-V,-3.6959852103007154,3.7771852103007153
W-V,-3.310934420682906,3.392134420682906
Re-V,-1.7275723374075553,1.8087723374075553
Os-V,-1.456092937678934,1.537292937678934
Ir-V,-1.3335153548326149,1.4147153548326148
Pt-V,-1.3795422226850442,1.4607422226850442
Au-V,-1.3147195625404877,1.3959195625404877
Cr-Cr,-2.1153810726247153,2.1965810726247152
Mn-Cr,-1.5456632096323617,1.6268632096323616
Fe-Cr,-1.3819971311311217,1.4631971311311216
Co-Cr,-1.2926959103938458,1.3738959103938457
Ni-Cr,-1.2464509117863423,1.3276509117863422
Cu-Cr,-1.2574246021266668,1.3386246021266668
Zn-Cr,-1.1803943695303434,1.2615943695303433
Y-Cr,-2.65788428787479,2.73908428787479
Zr-Cr,-2.763094600283115,2.844294600283115
Nb-Cr,-2.595980461634873,2.677180461634873
Mo-Cr,-2.167589966688305,2.248789966688305
Tc-Cr,-1.0488011310492498,1.1300011310492497
Ru-Cr,-0.8355436398863183,0.9167436398863182
Rh-Cr,-1.1889881434382341,1.270188143438234
Pd-Cr,-1.0436272664668131,1.124827266466813
Ag-Cr,-1.1235788445296584,1.2047788445296583
Cd-Cr,-0.9304809048444569,1.0116809048444568
Hf-Cr,-2.9621735757445005,3.0433735757445004
Ta-Cr,-2.9220546510287986,3.0032546510287985
W-Cr,-2.185915041607239,2.267115041607239
Re-Cr,-1.4890263307030136,1.5702263307030135
Os-Cr,-0.8539337498046621,0.9351337498046621
Ir-Cr,-0.953867780342099,1.035067780342099
Pt-Cr,-1.0391670397707684,1.1203670397707683
Au-Cr,-0.9702716955490344,1.0514716955490344
Mn-Mn,-1.1092709898727062,1.1904709898727062
