name,Predicted value,Difference from optimal G
Sc-Sc,-3.5961433719180556,3.6773433719180555
Ti-Sc,-3.7072249171,3.7884249171
V-Sc,-3.393019882866665,3.474219882866665
Cr-Sc,-2.4786641019876985,2.5598641019876984
Mn-Sc,-2.0873046633265684,2.1685046633265683
Fe-Sc,-1.8884545810104973,1.9696545810104973
Co-Sc,-1.8618519329827194,1.9430519329827194
Ni-Sc,-1.8885509659160533,1.9697509659160533
Cu-Sc,-2.0281463744097037,2.1093463744097036
Zn-Sc,-1.664406905088889,1.745606905088889
Y-Sc,-3.2769409301861105,3.3581409301861105
Zr-Sc,-3.8316824011291666,3.9128824011291665
Nb-Sc,-3.7247887892111087,3.8059887892111086
Mo-Sc,-3.467329415778281,3.548529415778281
Tc-Sc,-1.9843042556469812,2.065504255646981
Ru-Sc,-1.9640200671678811,2.045220067167881
Rh-Sc,-2.0113083389248256,2.0925083389248256
Pd-Sc,-1.7316089212230172,1.8128089212230172
Ag-Sc,-2.006634768243037,2.087834768243037
Cd-Sc,-1.4236893961861115,1.5048893961861114
Hf-Sc,-3.975351015134724,4.056551015134724
Ta-Sc,-3.972173864422223,4.053373864422223
W-Sc,-3.950897793355554,4.032097793355554
Re-Sc,-2.0181817172586873,2.0993817172586873
Os-Sc,-1.8784336996233284,1.9596336996233283
Ir-Sc,-1.8490542335128126,1.9302542335128126
Pt-Sc,-1.7209588717799618,1.8021588717799617
Au-Sc,-1.706727607494842,1.787927607494842
Ti-Ti,-3.589089751375,3.670289751375
V-Ti,-3.323646066183333,3.404846066183333
Cr-Ti,-2.205129846889069,2.286329846889069
Mn-Ti,-1.9680407077665818,2.049240707766582
Fe-Ti,-1.882232493196344,1.9634324931963438
Co-Ti,-1.8726722909362914,1.9538722909362913
Ni-Ti,-1.9459563697612907,2.0271563697612907
Cu-Ti,-1.9751364489731955,2.0563364489731955
Zn-Ti,-1.7576592375287516,1.8388592375287516
Y-Ti,-3.5680310199277754,3.6492310199277753
Zr-Ti,-3.8812431450597225,3.9624431450597224
Nb-Ti,-3.6608834411958324,3.7420834411958324
Mo-Ti,-3.5075694611569435,3.5887694611569434
Tc-Ti,-1.938358592508513,2.019558592508513
Ru-Ti,-1.984280561462614,2.065480561462614
Rh-Ti,-1.8400261754817464,1.9212261754817463
Pd-Ti,-1.7740385426456353,1.8552385426456353
Ag-Ti,-1.9724225349731954,2.0536225349731954
Cd-Ti,-1.4172623385095238,1.4984623385095237
Hf-Ti,-3.9350228098513886,4.016222809851389
Ta-Ti,-4.107134801951388,4.188334801951388
W-Ti,-3.850191374140277,3.931391374140277
Re-Ti,-1.960056054688937,2.041256054688937
Os-Ti,-1.9345102663495184,2.0157102663495183
Ir-Ti,-1.7809571829646829,1.8621571829646828
Pt-Ti,-1.7758517882125004,1.8570517882125004
Au-Ti,-1.8144781596392014,1.8956781596392014
V-V,-3.269301247372222,3.3505012473722218
Cr-V,-2.1211624267384734,2.2023624267384734
Mn-V,-1.8556322810013701,1.93683228100137
Fe-V,-1.6351190421330508,1.7163190421330508
Co-V,-1.630150364838606,1.711350364838606
Ni-V,-1.6935770960544787,1.7747770960544786
Cu-V,-1.654231200676899,1.735431200676899
Zn-V,-1.4842858935069265,1.5654858935069265
Y-V,-3.486580004277777,3.5677800042777768
Zr-V,-3.603586938716665,3.6847869387166647
Nb-V,-3.365071427749999,3.446271427749999
Mo-V,-3.3802165486505045,3.4614165486505044
Tc-V,-1.86572895859374,1.94692895859374
Ru-V,-1.7425100950257515,1.8237100950257514
Rh-V,-1.732492262755712,1.813692262755712
Pd-V,-1.5117924150608473,1.5929924150608472
Ag-V,-1.6512321889120847,1.7324321889120846
Cd-V,-1.0920289961382281,1.173228996138228
Hf-V,-3.6032311114472217,3.6844311114472217
Ta-V,-3.839989797288889,3.9211897972888887
W-V,-3.55377165161111,3.63497165161111
Re-V,-1.8412506020914254,1.9224506020914254
Os-V,-1.6546466108125482,1.735846610812548
Ir-V,-1.4843351435369057,1.5655351435369056
Pt-V,-1.4744082449392863,1.5556082449392863
Au-V,-1.4936610875118204,1.5748610875118203
Cr-Cr,-2.309781464050793,2.390981464050793
Mn-Cr,-1.7269929814656078,1.8081929814656077
Fe-Cr,-1.5756846282717591,1.656884628271759
Co-Cr,-1.5236868461566793,1.6048868461566792
Ni-Cr,-1.519359570986177,1.6005595709861768
Cu-Cr,-1.5077604878310846,1.5889604878310846
Zn-Cr,-1.381380116528968,1.462580116528968
Y-Cr,-2.851216440321429,2.932416440321429
