name,Predicted value,Difference from optimal G
Sc-Sc,-3.3916867421746426,3.4728867421746425
Ti-Sc,-3.62905836913637,3.71025836913637
V-Sc,-3.412105735966147,3.493305735966147
Cr-Sc,-2.8114787286245626,2.8926787286245625
Mn-Sc,-2.125484001547488,2.206684001547488
Fe-Sc,-2.109506272699091,2.190706272699091
Co-Sc,-1.8611929927947293,1.9423929927947292
Ni-Sc,-1.6127203687541054,1.6939203687541053
Cu-Sc,-1.5500212622448963,1.6312212622448963
Zn-Sc,-1.1326280023700779,1.2138280023700778
Y-Sc,-3.172211983385648,3.253411983385648
Zr-Sc,-3.766764803308856,3.847964803308856
Nb-Sc,-3.8331649585299017,3.9143649585299016
Mo-Sc,-3.2693118470792495,3.3505118470792494
Tc-Sc,-2.862092154904489,2.943292154904489
Ru-Sc,-2.2426682900938015,2.3238682900938015
Rh-Sc,-1.9216830201034605,2.0028830201034604
Pd-Sc,-1.4640682813253156,1.5452682813253156
Ag-Sc,-1.5558278977105315,1.6370278977105315
Cd-Sc,-0.9636066265369853,1.0448066265369853
Hf-Sc,-3.7838534633638776,3.8650534633638776
Ta-Sc,-3.9218578446588213,4.003057844658821
W-Sc,-3.5053039941922757,3.5865039941922756
Re-Sc,-2.8137793357936642,2.894979335793664
Os-Sc,-2.2088256884376376,2.2900256884376375
Ir-Sc,-1.9177118790474839,1.9989118790474838
Pt-Sc,-1.676568999048209,1.757768999048209
Au-Sc,-1.6359713311208295,1.7171713311208294
Ti-Ti,-3.6247277130268234,3.7059277130268233
V-Ti,-3.2915205331604858,3.3727205331604857
Cr-Ti,-2.674556586553786,2.755756586553786
Mn-Ti,-2.047976329311717,2.1291763293117167
Fe-Ti,-1.8920537483988629,1.9732537483988628
Co-Ti,-1.6444918472490402,1.7256918472490401
Ni-Ti,-1.489607976252226,1.570807976252226
Cu-Ti,-1.3766836408674639,1.4578836408674638
Zn-Ti,-1.0964191618682713,1.1776191618682712
Y-Ti,-3.4592776211299716,3.5404776211299716
Zr-Ti,-3.980507699183242,4.061707699183242
Nb-Ti,-3.433066456462372,3.514266456462372
Mo-Ti,-3.1044007598524024,3.1856007598524023
Tc-Ti,-2.623051341674088,2.704251341674088
Ru-Ti,-2.049376746145787,2.130576746145787
Rh-Ti,-1.681212946076395,1.7624129460763949
Pd-Ti,-1.3711933387923905,1.4523933387923904
Ag-Ti,-1.4127697345107588,1.4939697345107588
Cd-Ti,-0.8182119743289538,0.8994119743289537
Hf-Ti,-4.075197231482527,4.156397231482527
Ta-Ti,-3.826816130002719,3.9080161300027187
