name,R_M1,N_M1,R_M2,N_M2,D,Xmax,Xmin,EAmax,EAmin,IEmax,IEmin,Omax,Omin,Qmax,Qmin,DBCmax,DBCmin,G
Hf-Sc,2.08,2,1.84,1,2.837,1.36,1.3,0.1882,0.17807,6.82507,6.56149,1.0,0.84,1.431831,1.268765,1.311,0.6115,-4.17725028
Ta-Ti,2.0,3,1.76,2,2.4,1.54,1.5,0.32312,0.075545,7.549571,6.82812,1.04,0.75,1.226891,0.98389,0.952,0.4565,-4.3573214
W-V,1.93,4,1.71,3,2.434,2.36,1.63,0.816268,0.527662,7.86403,6.746187,0.85,0.79,1.115091,1.070329,0.811,-0.123,-3.97992643
Re-Cr,1.88,5,1.66,5,2.302,1.9,1.66,0.6758412,0.06039663,7.83352,6.76651,0.61,0.5,1.008461,0.717475,0.0395,-0.807,-1.14739105
Os-Mn,1.85,6,1.61,5,2.148,2.2,1.55,1.0778013,-0.52,8.43823,7.434038,0.43,0.37,0.987422,0.595678,-0.601,-1.488,-0.54272614
Ir-Fe,1.8,7,1.56,6,2.258,2.2,1.83,1.5643615,0.15323634,8.96702,7.9024681,0.44,0.43,0.945408,0.417571,-1.101,-1.638,0.06085057
Pt-Co,1.77,9,1.52,7,2.362,2.28,1.88,2.125105,0.662265,8.95883,7.88101,0.39,0.11,0.73559,0.368144,-0.852,-2.423,0.359058
Au-Ni,1.74,10,1.49,8,2.372,2.54,1.91,2.30861025,1.1571612,9.225554,7.639878,0.19,0.0,0.662082,0.530331,-1.7245,-4.8725,0.88345803
Y-Sc,2.12,1,1.84,1,3.016,1.36,1.22,0.30712,0.1882,6.56149,6.21726,0.84,0.81,1.449497,1.40907,1.2125,1.2025,-3.16273862
Zr-Ti,2.06,2,1.76,2,2.644,1.54,1.33,0.433289,0.075545,6.82812,6.634126,1.04,0.84,1.349771,1.135063,0.9765,0.8905,-4.16637628
Nb-V,1.98,4,1.71,3,2.361,1.63,1.6,0.917407,0.527662,6.75885,6.746187,0.81,0.79,1.249324,1.130925,0.639,0.4745,-3.19994834
Mo-Cr,1.9,5,1.66,5,2.384,2.16,1.66,0.74733,0.6758412,7.09243,6.76651,0.62,0.61,1.041857,1.03768,0.1655,-0.271,-2.31097881
Tc-Mn,1.83,5,1.61,5,2.381,1.9,1.55,0.552,-0.52,7.434038,7.11938,0.5,0.37,1.042799,0.807052,-0.7075,-0.8485,-0.88955008
Ru-Fe,1.78,7,1.56,6,2.191,2.2,1.83,1.0463825,0.15323634,7.9024681,7.3605,0.43,0.43,0.839644,0.626139,-1.0415,-1.0935,-0.29489907
Rh-Co,1.73,8,1.52,7,2.312,2.28,1.88,1.142892,0.662265,7.88101,7.4589,0.39,0.31,0.729701,0.485281,-1.0845,-1.4315,0.05980262
Pd-Ni,1.69,10,1.49,8,2.361,2.2,1.91,1.1571612,0.5621412,8.336839,7.639878,0.19,-0.03,0.604852,0.416898,-0.907,-2.1695,0.96535057
Ag-Cu,1.65,10,1.45,10,2.557,1.93,1.9,1.304473,1.235784,7.72638,7.576234,0.19,0.1,0.688908,0.491312,-1.959,-3.161,0.17684298
Cd-Zn,1.61,10,1.42,10,2.822,1.69,1.65,-0.62,-0.72,9.394197,8.99382,0.25,0.24,1.05953,0.18266,-6.4115,-7.23,-0.65532876
Hf-Y,2.08,2,2.12,1,2.936,1.3,1.22,0.30712,0.17807,6.82507,6.21726,1.0,0.81,1.528169,1.45347,1.289,0.614,-2.25985001
